SMILES,Pred_Score
COC(=O)C1=C(NC(=S)N2CCN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC)C[C@H]2C)S[C@H]2CCCCC[C@@H]12,0.964463624
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,0.96442762
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]12)c1csc(N)c1,0.964393604
C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,0.964377481
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@@H]12)c1csc(N)n1,0.964377159
COC(=O)[C@@H](C)NC(=S)N1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C[C@@H]1C,0.96425947
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N(C)C4[C@@H]5CNC[C@@H]45)cn1c32,0.964240736
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N(C)C4[C@H]5CNC[C@H]45)cn1c32,0.96424073
COC(=O)C1=C(NC(=S)N2CCN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC)C[C@@H]2C)S[C@H]2CCCCC[C@@H]12,0.964047581
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1,0.964045653
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N4CCNC[C@H]4C#N)cn1c32,0.963949391
CO[C@@H]1CN(C(=O)c2cn3c4c(cc(F)c(N5CCN(C)CC5)c4OC[C@H]3C)c2=O)C[C@@H]1N,0.963920182
C=C1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)/C(=C(/N)O)C(=O)[C@@H](N(C)C)[C@H]3[C@@H](O)[C@H]12,0.963785681
COC(=O)[C@@H](NC(=O)c1cn2c3c(cc(F)c(N4CCN(C)CC4)c3OC[C@@H]2C)c1=O)[C@@H](C)O,0.963691774
